Ticker,Weight
MTZ,0.0002
AVY,0.0002
DOCU,0.0002
RL,0.0002
JKHY,0.0002
ALLE,0.0002
GGG,0.0002
DKS,0.0002
RPM,0.0002
LECO,0.0002
MAS,0.0002
KIM,0.0002
UNM,0.0002
EQH,0.0002
AA,0.0002
IEX,0.0002
RGA,0.0002
DPZ,0.0002
BBY,0.0002
RNR,0.0002
TOL,0.0002
NTNX,0.0002
SF,0.0002
EVR,0.0002
NDSN,0.0002
SCCO,0.0002
DT,0.0002
NXT,0.0002
ACM,0.0002
MEDP,0.0002
HST,0.0002
ENTG,0.0002
MLI,0.0002
CF,0.0002
VIK,0.0002
OHI,0.0002
TW,0.0002
HL,0.0002
KTOS,0.0002
QXO,0.0002
GH,0.0002
REG,0.0002
IONS,0.0002
AKAM,0.0002
ZBRA,0.0002
EXEL,0.0002
ALLY,0.0002
AIZ,0.0002
CACI,0.0002
BJ,0.0002
SNX,0.0002
BLD,0.0002
FHN,0.0002
PEN,0.0002
UHS,0.0002
CLX,0.0002
CLH,0.0002
WCC,0.0002
UDR,0.0002
WSO,0.0002
CCK,0.0002
GLPI,0.0002
CMA,0.0002
DTM,0.0002
CDE,0.0002
AYI,0.0002
CPT,0.0002
SOLV,0.0002
BBIO,0.0002
BG,0.0002
EPAM,0.0002
ELS,0.0002
GL,0.0002
Z,0.0002
TXRH,0.0002
RVTY,0.0002
SWK,0.0002
HAS,0.0002
NYT,0.0002
BLDR,0.0002
IOT,0.0002
MDGL,0.0002
DOC,0.0002
AGNC,0.0002
FDS,0.0002
LYB,0.0002
BMRN,0.0002
SCI,0.0002
DCI,0.0002
MRNA,0.0002
LAMR,0.0002
ELAN,0.0002
EHC,0.0002
ORI,0.0002
MTSI,0.0002
MANH,0.0002
ALGN,0.0002
BXP,0.0002
MKSI,0.0002
DAY,0.0002
PNW,0.0002
WMS,0.0002
WTRG,0.0002
WBS,0.0002
RBRK,0.0002
AMH,0.0002
CRL,0.0002
AIT,0.0002
JAZZ,0.0002
LSCC,0.0002
CNM,0.0002
BAH,0.0002
FIVE,0.0002
